House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
32,Stoke Garden,Ashleigh,Kelly,26,Daughter,Divorced,Female,Paediatric nurse,None,None
32,Stoke Garden,Jill,Kelly,13,Daughter,NA,Female,Student,None,NA
33,Stoke Garden,Grace,Mills,34,Head,Widowed,Female,Chartered accountant,None,None
33,Stoke Garden,James,Mills,3,Son,NA,Male,Child,None,NA
34,Stoke Garden,Teresa,Payne,62,Head,Married,Female,Recruitment consultant,None,Christian
34,Stoke Garden,Trevor,Payne,70,Husband,Married,Male,Retired Administrator,None,None
34,Stoke Garden,Megan,Payne,29,Daughter,Single,Female,"Producer, radio",None,Christian
34,Stoke Garden,Christian,Payne,29,Son,Single,Male,Secondary school teacher,None,Christian
35,Stoke Garden,Garry,Richardson,24,Head,Single,Male,Mudlogger,None,None
1,Myers Vista,Diana,Cooper,71,Head,Widowed,Female,"Retired Teacher, special educational needs",None,Christian
2,Myers Vista,Gemma,Richardson,60,Head,Single,Female,"Restaurant manager, fast food",None,Christian
3,Myers Vista,Keith,Hargreaves,45,Head,Single,Male,Building control surveyor,None,Christian
4,Myers Vista,Colin,Howard,72,Head,Widowed,Male,Retired Insurance broker,None,None
5,Myers Vista,Diane,Robinson,51,Head,Single,Female,Musician,None,Christian
5,Myers Vista,Kimberley,Kennedy,45,None,Single,Female,"Designer, graphic",None,Catholic
5,Myers Vista,Molly,Price,20,None,Single,Female,University Student,None,None
5,Myers Vista,Nigel,Dunn,25,None,Single,Male,"Buyer, retail",None,None
6,Myers Vista,Gordon,Tomlinson,22,Head,Divorced,Male,University Student,None,Methodist
7,Myers Vista,Ricky,Marshall,74,Head,Married,Male,Retired Nature conservation officer,None,Christian
7,Myers Vista,Carole,Marshall,71,Wife,Married,Female,Retired Television camera operator,None,Christian
8,Myers Vista,Garry,Morgan,19,Head,Divorced,Male,University Student,None,Christian
9,Myers Vista,Ben,West,68,Head,Married,Male,Retired Intelligence analyst,None,None
9,Myers Vista,Anna,West,66,Wife,Married,Female,Planning and development surveyor,None,None
10,Myers Vista,Sandra,Saunders,79,Head,Widowed,Female,Retired Historic buildings inspector/conservation officer,None,Christian
11,Myers Vista,Laura,Berry,22,Head,Married,Female,Psychiatrist,None,Christian
11,Myers Vista,Bruce,Barnes,19,Husband,Married,Male,Exhibition designer,None,Christian
12,Myers Vista,Steven,Begum,67,Head,Widowed,Male,Medical physicist,None,None
13,Myers Vista,Charlene,Price,75,Head,Widowed,Female,Retired Customer service manager,None,Christian
14,Myers Vista,Rosemary,Thompson,57,Head,Single,Female,Industrial buyer,None,Christian
15,Myers Vista,Alexander,Bradley,58,Head,Single,Male,Homeopath,None,Christian
16,Myers Vista,Stuart,Allen,61,Head,Single,Male,Unemployed,None,None
17,Myers Vista,Andrew,Armstrong,32,Head,Single,Male,IT technical support officer,None,Muslim
18,Myers Vista,Ann,Harvey,71,Head,Widowed,Female,Retired Press photographer,None,Christian
19,Myers Vista,Dylan,Hunt,36,Head,Single,Male,Communications engineer,None,Christian
20,Myers Vista,Sarah,Dunn,40,Head,Married,Female,Stage manager,None,Christian
20,Myers Vista,Jacob,Dunn,43,Husband,Married,Male,Risk analyst,None,Christian
20,Myers Vista,Mary,Dunn,11,Daughter,NA,Female,Student,None,NA
21,Myers Vista,Bethany,Jackson,27,Head,Married,Female,Health visitor,None,Christian
21,Myers Vista,Mark,Jackson,26,Husband,Married,Male,Best boy,None,Christian
22,Myers Vista,Joyce,Perry,61,Head,Single,Female,Unemployed,None,None
22,Myers Vista,Albert,Perry,41,Son,Single,Male,Magazine journalist,None,None
22,Myers Vista,Zoe,Perry,38,Daughter,Widowed,Female,Banker,None,None
23,Myers Vista,Daniel,Gallagher,39,Head,Single,Male,Optometrist,None,Catholic
24,Myers Vista,Douglas,Craig,42,Head,Married,Male,Building control surveyor,None,Christian
24,Myers Vista,Lorraine,Craig,40,Wife,Married,Female,Video editor,None,Christian
25,Myers Vista,Katie,Jones,56,Head,Single,Female,Unemployed,None,Methodist
26,Myers Vista,Fiona,Hodgson-Burton,42,Head,Divorced,Female,Unemployed,None,Catholic
26,Myers Vista,Janet,Hodgson-Burton,12,Daughter,NA,Female,Student,None,NA
26,Myers Vista,Debra,Hodgson-Burton,10,Daughter,NA,Female,Student,None,NA
27,Myers Vista,Chloe,Foster,79,Head,Single,Female,Retired Automotive engineer,None,Christian
28,Myers Vista,Kimberley,Morrison,44,Head,Single,Female,Unemployed,None,Methodist
28,Myers Vista,Louis,Wilkinson,47,Partner,Single,Male,Hospital doctor,None,None
29,Myers Vista,Gillian,Day,37,Head,Single,Female,"Teacher, English as a foreign language",None,Catholic
30,Myers Vista,Naomi,Turner,70,Head,Single,Female,Retired Animator,None,Christian
31,Myers Vista,Marc,Davison,43,Head,Married,Male,"Therapist, nutritional",None,None
31,Myers Vista,Jodie,Davison,39,Wife,Married,Female,IT trainer,None,None
32,Myers Vista,Liam,Cartwright,64,Head,Single,Male,Private music teacher,None,Christian
33,Myers Vista,Gavin,Oliver,53,Head,Divorced,Male,Maintenance engineer,None,Christian
34,Myers Vista,Abigail,Evans,39,Head,Single,Female,Unemployed,None,Methodist
34,Myers Vista,Joseph,Campbell,47,Visitor,Single,Male,Textile designer,None,None
35,Myers Vista,Michelle,Cooper,79,Head,Single,Female,Retired Textile designer,None,Christian
35,Myers Vista,Conor,Cooper,39,Son,Single,Male,"Librarian, academic",None,None
35,Myers Vista,Leon,Cooper,35,Son,Single,Male,Newspaper journalist,None,Christian
36,Myers Vista,Charlotte,Rowley,50,Head,Single,Female,"Surveyor, hydrographic",None,Sikh
37,Myers Vista,Trevor,Hall,53,Head,Single,Male,Proofreader,None,None
37,Myers Vista,Stuart,Cunningham,38,None,Single,Male,Politician's assistant,None,None
37,Myers Vista,Melanie,Turner,25,None,Single,Female,"Conservation officer, historic buildings",None,Christian
38,Myers Vista,Kyle,Miller,31,Head,Single,Male,Insurance risk surveyor,None,Christian
38,Myers Vista,Debra,Patterson,32,None,Single,Female,Armed forces technical officer,None,Jewish
39,Myers Vista,Sharon,Fletcher,64,Head,Married,Female,IT trainer,None,Christian
39,Myers Vista,Henry,Fletcher,69,Husband,Married,Male,Retired Translator,None,None
40,Myers Vista,Sandra,Robinson,49,Head,Single,Female,General practice doctor,None,Catholic
41,Myers Vista,Cheryl,Richards,51,Head,Married,Female,Community pharmacist,None,Catholic
41,Myers Vista,Elliott,Richards,52,Husband,Married,Male,Therapeutic radiographer,None,None
41,Myers Vista,Dominic,Richards,20,Son,Widowed,Male,University Student,None,Catholic
42,Myers Vista,Georgina,Green,31,Head,Single,Female,Stage manager,None,Christian
42,Myers Vista,Bernard,Hodgson,35,Partner,Single,Male,Logistics and distribution manager,None,Christian
42,Myers Vista,Gail,Green,2,Daughter,NA,Female,Child,None,NA
43,Myers Vista,Bruce,Cooke,52,Head,Single,Male,Geographical information systems officer,None,Christian
44,Myers Vista,Tracey,Reeves,28,Head,Single,Female,Psychiatrist,None,None
44,Myers Vista,Stacey,Goodwin,36,None,Single,Female,Patent examiner,None,Christian
45,Myers Vista,Gareth,Davis,81,Head,Widowed,Male,Retired Solicitor,None,Catholic
46,Myers Vista,Roy,Chapman,37,Head,Single,Male,Sports coach,None,Christian
46,Myers Vista,Frances,Davis,38,Partner,Single,Female,Public relations account executive,None,Christian
47,Myers Vista,Alexandra,Goddard,72,Head,Widowed,Female,Retired Hospital doctor,None,Christian
48,Myers Vista,Kyle,Bennett,37,Head,Single,Male,Unemployed,None,Methodist
49,Myers Vista,Phillip,Bryan,33,Head,Single,Male,Colour technologist,None,Catholic
1,Murphy Harbors,Marilyn,Chandler,47,Head,Single,Female,Unemployed,None,None
1,Murphy Harbors,Bruce,Chandler,12,Son,NA,Male,Student,None,NA
1,Murphy Harbors,Darren,Chandler,10,Son,NA,Male,Student,None,NA
2,Murphy Harbors,Bradley,Morris,78,Head,Widowed,Male,Retired Field trials officer,None,Methodist
3,Murphy Harbors,Wendy,Wade,75,Head,Widowed,Female,Retired Higher education lecturer,None,Christian
4,Murphy Harbors,Gemma,Swift,31,Head,Married,Female,"Surveyor, insurance",None,None
4,Murphy Harbors,Jack,Swift,34,Husband,Married,Male,"Education officer, environmental",None,None
4,Murphy Harbors,Cheryl,Swift,0,Daughter,NA,Female,Child,None,NA
5,Murphy Harbors,Donna,Abbott,47,Head,Married,Female,Environmental education officer,None,Catholic
5,Murphy Harbors,Mitchell,Abbott,46,Husband,Married,Male,"Surveyor, insurance",None,None
5,Murphy Harbors,Timothy,Abbott,9,Son,NA,Male,Student,None,NA
5,Murphy Harbors,Melanie,Abbott,8,Daughter,NA,Female,Student,None,NA
6,Murphy Harbors,Max,Davies,44,Head,Single,Male,"Education officer, environmental",None,Catholic
7,Murphy Harbors,Jacqueline,Graham,30,Head,Married,Female,Unemployed,None,None
7,Murphy Harbors,Leonard,Graham,33,Husband,Married,Male,Psychiatric nurse,None,None
7,Murphy Harbors,Robin,Graham,0,Son,NA,Male,Child,None,NA
8,Murphy Harbors,Yvonne,Gordon,28,Head,Married,Female,Database administrator,None,None
8,Murphy Harbors,Jake,Gordon,29,Husband,Married,Male,"Programmer, systems",None,None
9,Murphy Harbors,Maria,Wilson,21,Head,Single,Female,University Student,None,Christian
10,Murphy Harbors,Suzanne,Johnson,18,Head,Single,Female,Student,None,NA
11,Murphy Harbors,Zoe,Welch,29,Head,Single,Female,"Engineer, maintenance",None,Methodist
12,Murphy Harbors,Jeremy,Berry,69,Head,Widowed,Male,Retired Chief Executive Officer,None,None
13,Murphy Harbors,Natalie,Poole,47,Head,Single,Female,"Loss adjuster, chartered",None,Catholic
13,Murphy Harbors,Bruce,Poole,23,Son,Divorced,Male,Unemployed,None,Catholic
14,Murphy Harbors,Jake,Smith,38,Head,Single,Male,Professor Emeritus,None,Methodist
15,Murphy Harbors,Jay,Carr,77,Head,Widowed,Male,"Retired Surveyor, mining",None,None
16,Murphy Harbors,Carly,Jenkins,22,Head,Single,Female,University Student,None,Jewish
16,Murphy Harbors,Kirsty,Jenkins,3,Daughter,NA,Female,Child,None,NA
17,Murphy Harbors,Liam,Taylor,51,Head,Married,Male,Tourist information centre manager,None,Christian
17,Murphy Harbors,Nicole,Taylor,47,Wife,Married,Female,Physiotherapist,None,Christian
17,Murphy Harbors,Christian,Taylor,14,Son,NA,Male,Student,None,NA
17,Murphy Harbors,Paul,Graham-Taylor,11,Son,NA,Male,Student,None,NA
18,Murphy Harbors,Marion,Macdonald,26,Head,Divorced,Female,Unemployed,None,Methodist
18,Murphy Harbors,Holly,Macdonald,4,Daughter,NA,Female,Child,None,NA
19,Murphy Harbors,Joseph,Dixon,30,Head,Single,Male,"Journalist, newspaper",None,Methodist
20,Murphy Harbors,Jenna,Bentley,88,Head,Widowed,Female,Retired Health visitor,None,None
21,Murphy Harbors,Danielle,Young,21,Head,Single,Female,University Student,None,None
22,Murphy Harbors,Steven,Williams,24,Head,Single,Male,Audiological scientist,None,Catholic
23,Murphy Harbors,Mary,Holmes,66,Head,Widowed,Female,Engineering geologist,None,None
24,Murphy Harbors,Mandy,Richardson,23,Head,Divorced,Female,Operational researcher,None,None
25,Murphy Harbors,Malcolm,Hancock,73,Head,Married,Male,Retired Toxicologist,None,Christian
25,Murphy Harbors,Sally,Hancock,71,Wife,Married,Female,Retired Colour technologist,None,Christian
26,Murphy Harbors,Max,Harper,73,Head,Married,Male,"Retired Restaurant manager, fast food",None,Methodist
26,Murphy Harbors,Nicole,Harper,73,Wife,Married,Female,Retired Lexicographer,None,Methodist
27,Murphy Harbors,Kieran,Andrews,18,Head,Single,Male,Student,None,NA
28,Murphy Harbors,Ross,Newman,89,Head,Single,Male,Retired Optometrist,None,Christian
29,Murphy Harbors,Paul,Singh,82,Head,Married,Male,Retired Land,None,Christian
29,Murphy Harbors,Jade,Singh,75,Wife,Married,Female,Retired Warden/ranger,None,Christian
30,Murphy Harbors,Paige,Stewart,43,Head,Divorced,Female,"Therapist, sports",None,Christian
30,Murphy Harbors,Guy,Stewart,16,Son,NA,Male,Student,None,NA
30,Murphy Harbors,Daniel,Stewart,12,Son,NA,Male,Student,None,NA
1,Outer Orchard,Hollie,Smith,59,Head,Single,Female,Market researcher,None,None
2,Outer Orchard,Rita,Oliver,50,Head,Married,Female,"Scientist, research (life sciences)",None,None
2,Outer Orchard,Marcus,Oliver,50,Husband,Married,Male,"Engineer, electrical",None,None
2,Outer Orchard,Mohamed,Oliver,14,Son,NA,Male,Student,None,NA
2,Outer Orchard,Rhys,Oliver,11,Son,NA,Male,Student,None,NA
2,Outer Orchard,Judith,Oliver,7,Daughter,NA,Female,Student,None,NA
3,Outer Orchard,Sara,Ahmed,38,Head,Single,Female,Unemployed,None,Catholic
3,Outer Orchard,Kathleen,Ahmed,14,Daughter,NA,Female,Student,None,NA
3,Outer Orchard,Katherine,Ahmed,10,Daughter,NA,Female,Student,None,NA
4,Outer Orchard,Lisa,Miah,33,Head,Married,Female,Fish farm manager,None,Sikh
4,Outer Orchard,Rhys,Miah,34,Husband,Married,Male,"Teacher, English as a foreign language",None,Sikh
4,Outer Orchard,Francis,Miah,8,Son,NA,Male,Student,None,NA
4,Outer Orchard,Vincent,Miah,5,Son,NA,Male,Student,None,NA
4,Outer Orchard,Scott,Cooper-Miah,0,Son,NA,Male,Child,None,NA
5,Outer Orchard,Francis,Hicks,19,Head,Single,Male,"Exhibitions officer, museum/gallery",None,None
5,Outer Orchard,Bruce,Begum,48,None,Single,Male,Police officer,None,None
5,Outer Orchard,Howard,Hall,58,None,Single,Male,Contracting civil engineer,None,Christian
6,Outer Orchard,Cheryl,Miles,51,Head,Married,Female,Insurance broker,None,Christian
6,Outer Orchard,Glenn,Miles,54,Husband,Married,Male,"Scientist, research (maths)",None,Christian
6,Outer Orchard,Nicole,Miles,19,Daughter,Divorced,Female,University Student,None,None
7,Outer Orchard,Barbara,Duffy,54,Head,Divorced,Female,Claims inspector/assessor,None,Christian
7,Outer Orchard,Lewis,Lane,26,Son,Divorced,Male,Animal technologist,None,Christian
8,Outer Orchard,Kayleigh,Davidson-Smith,50,Head,Divorced,Female,Furniture conservator/restorer,None,Catholic
8,Outer Orchard,Jacob,Davidson-Smith,12,Son,NA,Male,Student,None,NA
8,Outer Orchard,Lynda,Davidson-Smith,8,Daughter,NA,Female,Student,None,NA
8,Outer Orchard,Kevin,Davidson-Smith,4,Son,NA,Male,Child,None,NA
9,Outer Orchard,Damien,Bailey,18,Head,Single,Male,University Student,None,None
9,Outer Orchard,Lynne,King,18,None,Single,Female,University Student,None,None
9,Outer Orchard,Garry,Humphreys,20,None,Single,Male,University Student,None,Christian
9,Outer Orchard,Wendy,Smith,20,None,Single,Female,University Student,None,NA
10,Outer Orchard,Sian,Butler,38,Head,Divorced,Female,Unemployed,None,None
10,Outer Orchard,Joe,Butler,22,Son,Single,Male,University Student,None,None
10,Outer Orchard,Kayleigh,Butler,22,Daughter,Divorced,Female,University Student,None,None
10,Outer Orchard,Catherine,Butler,22,Daughter,Divorced,Female,University Student,None,None
10,Outer Orchard,Ryan,Butler,18,Son,Single,Male,Student,None,None
11,Outer Orchard,Sophie,Jones,40,Head,Single,Female,Translator,None,None
11,Outer Orchard,Pauline,Jones,13,Daughter,NA,Female,Student,None,NA
12,Outer Orchard,Brian,Singh,70,Head,Married,Male,Retired Ophthalmologist,Physical Disability,Christian
12,Outer Orchard,Rosemary,Singh,68,Wife,Married,Female,Retired Solicitor,None,Christian
13,Outer Orchard,Lawrence,Williams,24,Head,Single,Male,Materials engineer,None,Sikh
13,Outer Orchard,Gail,Smith,23,Partner,Single,Female,"Surveyor, building control",None,Sikh
14,Outer Orchard,Maureen,Bentley,49,Head,Married,Female,"Therapist, nutritional",None,Christian
14,Outer Orchard,Trevor,Bentley,53,Husband,Married,Male,Electronics engineer,None,Christian
14,Outer Orchard,Garry,Bentley,12,Son,NA,Male,Student,None,NA
15,Outer Orchard,Beverley,Mitchell,55,Head,Divorced,Female,"Geneticist, molecular",None,Christian
15,Outer Orchard,Emma,Mitchell,18,Daughter,Single,Female,Student,None,Christian
15,Outer Orchard,Aimee,Mitchell,13,Daughter,NA,Female,Student,None,NA
16,Outer Orchard,Bethany,Bull,46,Head,Divorced,Female,Adult guidance worker,None,None
16,Outer Orchard,Tina,Bull,7,Daughter,NA,Female,Student,None,NA
16,Outer Orchard,Leonard,Bull,4,Son,NA,Male,Child,None,NA
16,Outer Orchard,Jamie,Bull,2,Son,NA,Male,Child,None,NA
17,Outer Orchard,Sophie,Wright,51,Head,Single,Female,Financial risk analyst,None,None
17,Outer Orchard,Charles,Wright,13,Son,NA,Male,Student,None,NA
17,Outer Orchard,Alison,Wright,12,Daughter,NA,Female,Student,None,NA
18,Outer Orchard,Kieran,Morris,45,Head,Single,Male,Futures trader,None,Catholic
19,Outer Orchard,Jamie,Thomas,69,Head,Married,Male,Retired Press sub,None,None
19,Outer Orchard,Katie,Thomas,64,Wife,Married,Female,Museum/gallery exhibitions officer,None,None
20,Outer Orchard,Luke,Patel,33,Head,Married,Male,"Programme researcher, broadcasting/film/video",None,None
20,Outer Orchard,Lydia,Patel,31,Wife,Married,Female,Mining engineer,None,None
21,Outer Orchard,Yvonne,Day,49,Head,Married,Female,Medical laboratory scientific officer,None,None
21,Outer Orchard,Justin,Day,52,Husband,Married,Male,Mining engineer,None,None
21,Outer Orchard,Tony,Day,17,Son,NA,Male,Student,None,NA
22,Outer Orchard,Jack,Cross,27,Head,Married,Male,"Research officer, political party",None,Catholic
22,Outer Orchard,Lesley,Cross,29,Wife,Married,Female,Insurance claims handler,None,Catholic
1,Pollard Street,Shaun,Moore,33,Head,Single,Male,Unemployed,None,Catholic
2,Pollard Street,Nicola,Porter,47,Head,Divorced,Female,Manufacturing systems engineer,None,None
2,Pollard Street,Holly,Porter,0,Neice,NA,Female,Child,None,NA
3,Pollard Street,Amelia,Palmer,58,Head,Single,Female,Publishing copy,None,None
4,Pollard Street,Donna,Gardner,70,Head,Widowed,Female,"Retired Designer, interior/spatial",None,None
5,Pollard Street,Samantha,James,57,Head,Single,Female,"Research officer, trade union",None,Christian
6,Pollard Street,Jake,Young,32,Head,Married,Male,Politician's assistant,None,None
6,Pollard Street,Diane,Young,33,Wife,Married,Female,Therapeutic radiographer,None,None
7,Pollard Street,Dorothy,Bond,38,Head,Married,Female,Press photographer,None,Catholic
7,Pollard Street,Wayne,Bond,48,Husband,Married,Male,Sport and exercise psychologist,None,None
7,Pollard Street,Gerard,Bond,4,Son,NA,Male,Child,None,NA
1,Clarke Parkway,Lydia,Lawrence,50,Head,Married,Female,Dance movement psychotherapist,None,Methodist
1,Clarke Parkway,Timothy,Lawrence,49,Husband,Married,Male,Community pharmacist,None,Methodist
1,Clarke Parkway,Connor,Lawrence,24,Son,Single,Male,Tourist information centre manager,None,Methodist
1,Clarke Parkway,Sophie,Lawrence,8,Daughter,NA,Female,Student,None,NA
2,Clarke Parkway,Dorothy,Carr,56,Head,Married,Female,Insurance account manager,None,Christian
2,Clarke Parkway,Dale,Carr,60,Husband,Married,Male,"Teacher, English as a foreign language",None,Christian
2,Clarke Parkway,Emma,Carr,21,Daughter,Single,Female,University Student,None,None
2,Clarke Parkway,Wendy,White-Carr,18,Daughter,Divorced,Female,Student,None,Christian
3,Clarke Parkway,Lindsey,Jackson,68,Head,Divorced,Female,Unemployed,None,Methodist
3,Clarke Parkway,Olivia,Jackson,42,Daughter,Widowed,Female,Electrical engineer,None,None
3,Clarke Parkway,Maureen,Jackson,38,Daughter,Single,Female,Software engineer,None,None
3,Clarke Parkway,Victoria,Jackson,35,Daughter,Divorced,Female,"Restaurant manager, fast food",None,None
4,Clarke Parkway,Mary,Kerr,58,Head,Married,Female,Personnel officer,None,Christian
4,Clarke Parkway,Neil,Kerr,58,Husband,Married,Male,Energy manager,None,Christian
4,Clarke Parkway,Yvonne,Kerr,17,Granddaughter,NA,Female,Student,None,NA
5,Clarke Parkway,Yvonne,Dunn,62,Head,Married,Female,"Embryologist, clinical",None,Catholic
5,Clarke Parkway,Dale,Dunn,62,Husband,Married,Male,Chiropodist,None,Catholic
5,Clarke Parkway,Hayley,Dunn,23,Daughter,Single,Female,Immigration officer,None,None
5,Clarke Parkway,Lauren,Dunn,5,Daughter,NA,Female,Student,None,NA
6,Clarke Parkway,Rita,Simpson-Hall,59,Head,Married,Female,Health visitor,None,Catholic
6,Clarke Parkway,Ben,Simpson-Hall,66,Husband,Married,Male,Management consultant,None,None
6,Clarke Parkway,Chelsea,Simpson-Hall,3,Granddaughter,NA,Female,Child,None,NA
6,Clarke Parkway,Pauline,Reynolds,0,Granddaughter,NA,Female,Child,None,NA
7,Clarke Parkway,Joan,Hunt,51,Head,Married,Female,"Engineer, automotive",None,Christian
7,Clarke Parkway,Marc,Hunt,56,Husband,Married,Male,Theatre manager,None,None
7,Clarke Parkway,Eric,Hunt,26,Son,Single,Male,Air broker,None,Catholic
7,Clarke Parkway,Kieran,Hunt,26,Son,Single,Male,"Radiographer, diagnostic",None,None
7,Clarke Parkway,Lesley,Hunt,25,Daughter,Divorced,Female,Commissioning editor,None,Christian
7,Clarke Parkway,Alan,Hunt,17,Son,NA,Male,Student,None,NA
8,Clarke Parkway,Keith,Thornton,27,Head,Single,Male,Press photographer,None,Orthodoxy
9,Clarke Parkway,Lawrence,Conway,75,Head,Widowed,Male,Retired Medical secretary,None,Methodist
9,Clarke Parkway,William,Conway,32,Son,Single,Male,"Teacher, music",None,None
9,Clarke Parkway,Mohammad,Conway,25,Son,Single,Male,Diplomatic Services operational officer,None,Methodist
9,Clarke Parkway,Melissa,Conway,21,Daughter,Single,Female,University Student,None,Methodist
9,Clarke Parkway,Jordan,Conway,19,Son,Single,Male,University Student,None,Methodist
9,Clarke Parkway,Kerry,Conway,19,Daughter,Single,Female,University Student,None,Methodist
10,Clarke Parkway,Louise,Hayes,36,Head,Married,Female,Fisheries officer,None,Christian
10,Clarke Parkway,Francis,Hayes,43,Husband,Married,Male,Environmental education officer,None,None
10,Clarke Parkway,Dean,Jarvis-Hayes,6,Son,NA,Male,Student,None,NA
10,Clarke Parkway,Lynne,Jarvis-Hayes,2,Daughter,NA,Female,Child,None,NA
1,Glasgow Spurs,Gail,Shah,41,Head,Single,Female,Archivist,None,Methodist
2,Glasgow Spurs,Sheila,Cross,61,Head,Single,Female,Estate agent,None,Methodist
3,Glasgow Spurs,Dylan,Cooper,54,Head,Married,Male,Purchasing manager,None,Methodist
3,Glasgow Spurs,Jodie,Cooper,48,Wife,Married,Female,Public house manager,None,None
4,Glasgow Spurs,Luke,Taylor,62,Head,Divorced,Male,"Nurse, adult",None,Christian
5,Glasgow Spurs,Georgia,Turner,63,Head,Single,Female,Field trials officer,None,Christian
6,Glasgow Spurs,Billy,Fowler,74,Head,Widowed,Male,Retired Agricultural consultant,None,Christian
7,Glasgow Spurs,Eleanor,Phillips,58,Head,Single,Female,Occupational psychologist,None,None
8,Glasgow Spurs,Raymond,Parkinson,79,Head,Married,Male,"Retired Chemist, analytical",None,Christian
8,Glasgow Spurs,Eleanor,Parkinson,74,Wife,Married,Female,Retired Chartered public finance accountant,None,None
9,Glasgow Spurs,Beth,Reeves,29,Head,Single,Female,Printmaker,None,Muslim
10,Glasgow Spurs,Victoria,Carter,43,Head,Single,Female,Advice worker,None,Christian
10,Glasgow Spurs,George,Lawrence,27,None,Single,Male,Hospital doctor,None,None
11,Glasgow Spurs,Marian,Simpson,25,Head,Widowed,Female,"Scientist, audiological",None,Christian
12,Glasgow Spurs,Matthew,Reynolds,73,Head,Widowed,Male,"Retired Conservation officer, historic buildings",None,Christian
13,Glasgow Spurs,Gerald,Carter,27,Head,Single,Male,Water quality scientist,None,None
14,Glasgow Spurs,Jeremy,Williams,42,Head,Single,Male,Medical secretary,None,None
15,Glasgow Spurs,Barry,Taylor,60,Head,Single,Male,"Engineer, communications",None,None
16,Glasgow Spurs,Linda,Harrison,49,Head,Single,Female,Unemployed,None,None
17,Glasgow Spurs,Teresa,Hayward,40,Head,Divorced,Female,Multimedia programmer,None,None
17,Glasgow Spurs,Mathew,Hayward,1,Step-Son,NA,Male,Child,None,NA
18,Glasgow Spurs,Paige,Macdonald,52,Head,Single,Female,Geophysical data processor,None,Christian
19,Glasgow Spurs,Sean,Sheppard,73,Head,Married,Male,Retired Homeopath,None,Christian
19,Glasgow Spurs,Sandra,Sheppard,72,Wife,Married,Female,Retired Illustrator,None,Christian
20,Glasgow Spurs,Kathryn,Foster,33,Head,Single,Female,Product manager,None,None
20,Glasgow Spurs,Howard,Fisher,3,Son,NA,Male,Child,None,NA
21,Glasgow Spurs,Gerard,Gray,39,Head,Single,Male,"Designer, interior/spatial",None,Catholic
22,Glasgow Spurs,Diana,Hyde,78,Head,Married,Female,Unemployed,None,None
22,Glasgow Spurs,Malcolm,Hyde,75,Husband,Married,Male,Retired Diplomatic Services operational officer,None,None
23,Glasgow Spurs,Martyn,Rowe,59,Head,Married,Male,"Exhibitions officer, museum/gallery",None,Muslim
23,Glasgow Spurs,Jemma,Rowe,58,Wife,Married,Female,Air cabin crew,None,Muslim
24,Glasgow Spurs,Amelia,Wilkins,42,Head,Divorced,Female,Heritage manager,None,None
24,Glasgow Spurs,Adrian,Wilkins,6,Son,NA,Male,Student,None,NA
24,Glasgow Spurs,Timothy,Wilkins,5,Son,NA,Male,Student,None,NA
24,Glasgow Spurs,Timothy,Wilkins,1,Son,NA,Male,Child,None,NA
25,Glasgow Spurs,Natalie,Dawson,68,Head,Single,Female,Retired Risk manager,None,None
26,Glasgow Spurs,Amanda,Bond,41,Head,Married,Female,Accommodation manager,None,Methodist
26,Glasgow Spurs,Henry,Bond,44,Husband,Married,Male,Fisheries officer,None,Methodist
26,Glasgow Spurs,Janice,Bond,16,Daughter,NA,Female,Student,None,NA
27,Glasgow Spurs,Kyle,Peacock,74,Head,Single,Male,Retired Comptroller,None,Christian
28,Glasgow Spurs,Francis,Lawson,55,Head,Married,Male,Associate Professor,None,Christian
28,Glasgow Spurs,Kayleigh,Lawson,47,Wife,Married,Female,"Engineer, aeronautical",None,Christian
29,Glasgow Spurs,Lydia,Sharpe,71,Head,Married,Female,Retired Child psychotherapist,None,Christian
29,Glasgow Spurs,Vincent,Sharpe,72,Husband,Married,Male,Retired Air broker,None,None
30,Glasgow Spurs,Frederick,Reid,60,Head,Single,Male,Astronomer,None,Christian
31,Glasgow Spurs,Julie,Day,71,Head,Widowed,Female,Retired Speech and language therapist,None,None
32,Glasgow Spurs,Danny,Williams,24,Head,Single,Male,Exhibition designer,None,None
32,Glasgow Spurs,Irene,Savage,23,Partner,Single,Female,Telecommunications researcher,None,None
33,Glasgow Spurs,Jeffrey,Williams,26,Head,Single,Male,"Development worker, international aid",None,Christian
33,Glasgow Spurs,Frances,Bell,24,Partner,Single,Female,"Pilot, airline",None,Christian
34,Glasgow Spurs,Caroline,Douglas,23,Head,Divorced,Female,Analytical chemist,None,None
35,Glasgow Spurs,Carl,Berry,51,Head,Single,Male,Sport and exercise psychologist,None,Methodist
36,Glasgow Spurs,Derek,Ross,85,Head,Widowed,Male,Retired Press photographer,None,Christian
37,Glasgow Spurs,Katherine,Thompson,37,Head,Married,Female,Financial controller,None,Christian
37,Glasgow Spurs,Louis,Thompson,42,Husband,Married,Male,Camera operator,None,Christian
37,Glasgow Spurs,Megan,Thompson,11,Daughter,NA,Female,Student,None,NA
38,Glasgow Spurs,Teresa,Richards,28,Head,Single,Female,Tourist information centre manager,None,None
38,Glasgow Spurs,Emily,Richards,3,Daughter,NA,Female,Child,None,NA
38,Glasgow Spurs,Fiona,Thompson,27,Visitor,Single,Female,Curator,None,Christian
